model,scenario,condition,episode_idx,seed,episode_return,episode_len,captured,reward_at_100,captured_at_100,reward_at_200,captured_at_200,reward_at_400,captured_at_400,terminal_action,hit_step_limit,ids_detections,ids_quarantine,ids_patch,ids_monitor,ids_first_step,ids_max_level,ids_increases,n_sensitive,n_hosts
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,97,1000097,251.9999877393191,400,32,271.99998850822453,30,271.99998774230266,32,251.9999877393191,32,False,True,20,2,6,12,18,2.7860088378447583,217,35,79
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,98,1000098,128.49998859763332,400,30,248.49998928010487,28,148.49998860806303,30,128.49998859763332,30,False,True,83,12,24,47,33,45.41379439899127,249,32,81
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,99,1000099,153.39999001175346,400,26,97.89999424070149,15,173.39999001920293,26,153.39999001175346,26,False,True,52,3,18,31,32,26.7746990978515,259,31,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,100,1000100,279.9999877244166,400,32,299.9999881163238,31,299.99998772740133,32,279.9999877244166,32,False,True,0,0,0,0,-1,0.6869581852,189,35,91
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,101,1000101,252.99998811929862,400,31,257.99998927414435,28,272.9999881237726,31,252.99998811929862,31,False,True,13,0,7,6,57,6.217608687866105,192,35,80
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,102,1000102,213.99998934418147,400,28,245.99998964965366,27,233.99998935014082,28,213.99998934418147,28,False,True,16,2,6,8,31,9.072503383826607,211,31,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,103,1000103,252.9999884903369,400,30,279.999988879263,29,272.99998849183066,30,252.9999884903369,30,False,True,5,1,0,4,103,3.790508837844758,201,31,86
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,104,1000104,256.9999873340097,400,33,127.49999464154283,14,264.49998848289255,30,256.9999873340097,33,False,True,30,1,9,20,77,14.120087204830533,183,34,79
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,105,1000105,297.4999869704187,400,34,259.49998967051533,27,317.49998697489355,34,297.4999869704187,34,False,True,2,0,1,1,14,0.9907581851999999,182,35,81
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,106,1000106,173.89998972267085,400,27,156.399992720783,19,194.39998972714008,27,173.89998972267085,27,False,True,55,1,16,38,40,15.99858546073392,259,32,87
